reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned_content,sentiment_before,sentiment_after
7fd2b39d-7d25-4dc7-b0a2-e456d361f201,Keysha Najua Putri,https://play-lh.googleusercontent.com/a/ACg8ocJfvSDRyDXBGSaasjromvAO4tbJuH89tik1t8A69_8sVkY-9w=mo,game kaya tai,1,0,2.717.985,2026-04-22 14:27:22,,,2.717.985,game kaya tai,negatif,negatif
d4d79551-cc9d-4c79-aaf5-75385feb3633,Dion Yp,https://play-lh.googleusercontent.com/a-/ALV-UjXnVnqTdlMjUrTDGlGz8n-YpQYt_KCmshkYNfVrTIzz_y3plmsr,TOLONG PERBAIKI UPDATE NY,1,0,2.717.985,2026-04-22 14:27:14,,,2.717.985,tolong baik update,negatif,negatif
530e89b6-2f33-4595-9746-68aa1f4540ab,Noufal Jr,https://play-lh.googleusercontent.com/a-/ALV-UjVylX7hZGmL8hQZh7-xiju5Qt0v5q3_L_5CVITzV37CdqmXpBg,tolong di perbaiki robloxnya kok error sih udah gk bisa ngechat juga padahal udah banyak robux di keluarin pas aku masuk di Roblox kok loding sihh terus lama banget lagi lodingnya padahal jaringan bagus dah lah Roblox udah kagak bagus udah buruk,5,0,2.717.985,2026-04-22 14:24:38,,,2.717.985,tolong baik robloxnya error sih udah ngechat udah robux keluarin pas masuk roblox loding sihh banget lodingnya jaring bagus dah roblox udah kagak bagus udah buruk,positif,negatif
07892da6-c12b-429d-8968-e99ad61079a9,Maslaha Rohmatulloh,https://play-lh.googleusercontent.com/a/ACg8ocIdnN8W6vzkW58q2s_I7E6heqTNLZ62TF2O-nAhtBtw7lxHmA=mo,kenapa sih sekarang verifikasi umur,1,0,,2026-04-22 14:22:44,,,,sih verifikasi umur,negatif,negatif
bfe1b14c-b3d4-4153-b222-09138ce9213b,Anim Fahra,https://play-lh.googleusercontent.com/a-/ALV-UjWRmogiM7b9kh9ieEobVKU2RnPxVTjhTLlJOCsad6TDkKlot_o,bagus suka sakali tapi adakudupagwiFi,5,0,2.717.985,2026-04-22 14:22:37,,,2.717.985,bagus suka sakal adakudupagwifi,positif,positif
12874baf-7c14-45ea-96ad-94b672f660b9,Dewi Pungki,https://play-lh.googleusercontent.com/a-/ALV-UjVJWmu7rE3H62xQRtp4xOPig4EzaxonyQgCF1-liJZsf71uPqzD,bagus bingittes,5,0,2.711.876,2026-04-22 14:21:29,,,2.711.876,bagus bingittes,positif,positif
5a38a413-d32a-440d-9f49-ed97bffa382b,Razan Abir Atariyan,https://play-lh.googleusercontent.com/a/ACg8ocKj4Z4PjI9-LLuKu6Ckg6KnfphcX-U4x83KGx_y7U4lYbynQQ=mo,game yang seru,5,0,2.717.985,2026-04-22 14:21:09,,,2.717.985,game seru,positif,positif
8efbeef1-8b20-46ad-bbce-09e4b50d964d,Menik,https://play-lh.googleusercontent.com/a/ACg8ocKzu18MVNXEqt9WHN6vrTS29AH0c5UvYfbGwPMDCg23T1yiOA=mo,"mohon maaf pihak roblox saya ingin mengeluhkan tentang game ""lanjutkan"", menurut saya itu sangat mengganggu apalagi jika kita punya game favorit dan tidak sengaja masuk ke mini game lain, apakah tidak ada fitur untuk mencopot game ""lanjutkan"" yang tidak sengaja masuk ke dalam fitur ""lanjutkan""? terima kasih mohon di pertimbangkan, dan di usaha kan untuk di perbaiki pihak roblox🙏🙏🙏",5,0,,2026-04-22 14:20:06,,,,mohon maaf roblox keluh game lanjut ganggu game favorit sengaja neg masuk mini game ada neg fitur copot game lanjut sengaja neg masuk fitur lanjut terima kasih mohon timbang usaha baik roblox,positif,negatif
bdbbdf4e-b931-4572-b97f-0456fd2bcf88,Ayra Alfa,https://play-lh.googleusercontent.com/a/ACg8ocITqlMAiHN224WRFHt4QoR9QyWqstej5I0OeP1Na1QJMPA9VQ=mo,game nya seru sih tapi kalo nulis kadang kadang suka di ##### kaya gituin padahal cuman nulis normal,4,0,2.717.985,2026-04-22 14:19:45,,,2.717.985,game nya seru sih kalo nulis kadang kadang suka kaya gituin cuman nulis normal,positif,positif
ee174906-4a14-4cf1-b773-3bcab1a7daf3,Zaini Zaini,https://play-lh.googleusercontent.com/a/ACg8ocKT7-IUSe8XHYL_ZIZeAV-ye_Ba3Bltm04OL2GD1ZKss4jKMg=mo,bagus dan seru,5,0,2.717.985,2026-04-22 14:19:12,,,2.717.985,bagus seru,positif,positif
